ID,Part,Priority,Option,Market,Store,Price,Currency,HUF_Est,Status,Risk,Note,Source,URL
PSU_10_HU,PSU,10,Lian Li SX 1000W Platinum Black (G9P.SX1000P.B000.EU),Hungary,Arukereso broad lead,48290,HUF,48290,Watch,Medium,Platinum ATX 3.1 at Gold price; Seasonic OEM; 135mm fan; excellent value anomaly,01_Market_Data/2026-06-21/PSU/2026-06-13_arukereso_1000w_atx31_psu_page1.md,
PSU_10_PL,PSU,10,Lian Li SX 1000W Platinum Black (G9P.SX1000P.B000.EU),Poland,Ceneo broad lead,609,PLN,50300,Watch,Medium,609 PLN = SX1000P in PL; slightly above HU floor but still compelling Platinum value,01_Market_Data/2026-06-21/PSU/1000w%20atx%203%201%20-%20Komputery.md,
PSU_11_HU,PSU,11,Thermaltake Toughpower GT 1000W Gold (PS-TPT-1000FNFAGE-3),Hungary,Arukereso broad lead,49790,HUF,49790,Watch,Medium,Solid ATX 3.1 Gold unit; 135mm fan; 14 offers in HU market,01_Market_Data/2026-06-21/PSU/2026-06-13_arukereso_1000w_atx31_psu_page1.md,
PSU_11_PL,PSU,11,Thermaltake Toughpower GT 1000W Gold (PS-TPT-1000FNFAGE-3),Poland,Ceneo broad lead,637.50,PLN,52800,Watch,Medium,Fresh PL row; competes with be quiet! Power Zone 2 pricing; check exact store availability,01_Market_Data/2026-06-21/PSU/1000w%20atx%203%201%20-%20Komputery.md,
PSU_12_HU,PSU,12,Thermaltake Toughpower PT 1000W Platinum Black (PS-TPP-1000FNFAPE-1),Hungary,Arukereso broad lead,56241,HUF,56241,Backup,Medium,Platinum ATX 3.1 at Gold price; CWT OEM; better value than be quiet! Power Zone 2; 2 offers only,01_Market_Data/2026-06-21/PSU/2026-06-13_arukereso_1000w_atx31_psu_page2.md,
PSU_13_HU,PSU,13,Phanteks AMP GH 1000W v2 Black Platinum (PH-P1000GH_BK02),Hungary,Arukereso broad lead,56900,HUF,56900,Backup,Medium,Platinum ATX 3.1 Seasonic OEM; 150mm compact; 12 offers; very strong premium option,01_Market_Data/2026-06-21/PSU/2026-06-13_arukereso_1000w_atx31_psu_page2.md,
PSU_13_PL,PSU,13,Phanteks AMP GH 1000W v2 Black Platinum (PH-P1000GH_BK02),Poland,Ceneo lead,655,PLN,54100,Backup,Medium,Ceneo has 655 PLN for one offer with free shipping; platinum at midrange price,01_Market_Data/2026-06-21/PSU/1000w%20atx%203%201%20-%20Komputery.md,
PSU_14_HU,PSU,14,Lian Li Edge 1000W Gold Black (G9P.EG1000G.BK00.EU),Hungary,Arukereso broad lead,59440,HUF,59440,Watch,Medium,Lian Li case ecosystem synergy; 10 offers; ATX 3.1 Gold; premium pick for Lian Li case build,01_Market_Data/2026-06-21/PSU/2026-06-13_arukereso_1000w_atx31_psu_page2.md,
PSU_15_HU,PSU,15,MSI MAG A1000GL PCIE5 1000W Gold (306-7ZP9B11-CE0),Hungary,Arukereso broad lead,54900,HUF,54900,Watch,Medium,Added HU row; already in seed as PSU_05_UA; cheap MSI ATX 3.1; 14 offers; verify noise levels,01_Market_Data/2026-06-21/PSU/2026-06-13_arukereso_1000w_atx31_psu_page1.md,
PSU_16_HU,PSU,16,ASRock SL-1000G 1000W Gold,Hungary,Arukereso broad lead,46900,HUF,46900,Watch,High,Cheapest branded ATX 3.1 option in HU; only 3 offers; ASRock PSU track record unclear,01_Market_Data/2026-06-21/PSU/2026-06-13_arukereso_1000w_atx31_psu_page2.md,
Cooler_01_HU,Cooler,1,Arctic Liquid Freezer III Pro 360 A-RGB Black,Hungary,Arukereso product page,37888,HUF,37888,Pick,Low,Best value 360mm AIO; top-tier cooling for 9900X; ARGB for build aesthetics,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_01_PL,Cooler,1,Arctic Liquid Freezer III Pro 360 A-RGB Black,Poland,Ceneo product page,399.00,PLN,32900,Compare,Low,Ceneo lead at 399 PLN; very competitive vs HU pricing; free shipping likely,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_02_HU,Cooler,2,Arctic Liquid Freezer III Pro 360 Black (non-RGB),Hungary,Arukereso product page,32190,HUF,32190,Pick,Low,Cheapest premium 360mm AIO; same pump/radiator as ARGB version; no extra lighting cost,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_02_PL,Cooler,2,Arctic Liquid Freezer III Pro 360 Black (non-RGB),Poland,Ceneo product page,324.00,PLN,26700,Compare,Low,Excellent PL value at 324 PLN; cheapest way to get premier 360 AIO cooling,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_03_HU,Cooler,3,MSI MAG CoreLiquid A13 360 Black,Hungary,Arukereso product page,27777,HUF,27777,Pick,Medium,Strong value at 27.8k HUF; MSI branding synergy with B850 Tomahawk; USB-C controller,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_03_PL,Cooler,3,MSI MAG CoreLiquid A13 360 Black,Poland,Ceneo product page,248.00,PLN,20400,Compare,Medium,Ceneo lead at 248 PLN; cheapest AIO in Poland; verify pump reliability long-term,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_03_UA,Cooler,3,MSI MAG CoreLiquid A13 360 Black,Ukraine,Hotline broad lead,3355,UAH,22600,Watch,Medium,Ukraine floor at 3355 UAH; strong price; warranty and shipping need verification,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_04_HU,Cooler,4,DeepCool LE360 V2 Black,Hungary,Arukereso product page,23990,HUF,23990,Watch,High,Insanely cheap 360 AIO at 24k HUF; pump/build quality risk; usable for budget phase,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_04_PL,Cooler,4,DeepCool LE360 V2 Black,Poland,Ceneo product page,282.82,PLN,23300,Compare,High,PL floor at 282.82 PLN; DeepCool known for decent budget cooling; ARGB on fans,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_04_UA,Cooler,4,DeepCool LE360 V2 Black,Ukraine,Hotline broad lead,3979,UAH,26800,Watch,High,Ukraine floor at 3979 UAH; DeepCool available in UA market; check seller reputation,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_05_HU,Cooler,5,be quiet! Pure Loop 3 LX 360mm Black,Hungary,Arukereso product page,34600,HUF,34600,Backup,Medium,Premium build quality with be quiet! Silent Wings fans; quieter than Arctic at load,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_05_PL,Cooler,5,be quiet! Pure Loop 3 LX 360mm Black,Poland,Ceneo product page,429.00,PLN,35300,Backup,Medium,PL price higher than HU floor; still viable for silent-priority builds,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Cooler_05_UA,Cooler,5,be quiet! Pure Loop 3 LX 360mm Black,Ukraine,Hotline broad lead,5511,UAH,37100,Watch,Medium,Ukraine pricing at 5511 UAH; be quiet! warranty coverage in UA region,01_Market_Data/2026-06-21/Cooler/2026-06-21_cooler_web_refresh.md,
Case_01_HU,Case,1,NZXT H7 Flow 2024 All Black (CM-H72FB-01),Hungary,Arukereso product page,42630,HUF,42630,Pick,Medium,Excellent airflow case; large enough for top-mount 360mm AIO; clean aesthetic; 42.6k HUF floor,01_Market_Data/2026-06-21/Case/2026-06-21_case_web_refresh.md,
Case_02_HU,Case,2,Corsair Frame 4000D RS Wood (CC-9011340-WW),Hungary,Arukereso product page,50400,HUF,50400,Backup,Medium,Premium wood-front Corsair mid-tower; good airflow; good cable management; 50.4k HUF lead,01_Market_Data/2026-06-21/Case/2026-06-21_case_web_refresh.md,
